"character","ascension","card","cardId","eloRating","peakRating","gamesPlayed","wins","losses","winRate"
"Defect",8,"Greed","CARD.GREED",1528.2,1528.2,1,1,0,100.0
"Defect",8,"Energy Surge","CARD.ENERGY_SURGE",1528.2,1528.2,1,1,0,100.0
"Defect",8,"Iteration","CARD.ITERATION",1528.2,1528.2,1,1,0,100.0
"Defect",8,"Rocket Punch","CARD.ROCKET_PUNCH",1528.2,1528.2,1,1,0,100.0
"Defect",8,"Subroutine","CARD.SUBROUTINE",1528.2,1528.2,1,1,0,100.0
"Defect",8,"Thunder","CARD.THUNDER",1528.2,1528.2,1,1,0,100.0
"Silent",0,"Deflect","CARD.DEFLECT",1527.9,1532.4,6,4,2,66.7
"Silent",6,"Snakebite","CARD.SNAKEBITE",1527.3,1527.3,3,2,1,66.7
"Silent",6,"Cloak And Dagger","CARD.CLOAK_AND_DAGGER",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Backflip","CARD.BACKFLIP",1525.6,1525.6,1,1,0,100.0
"Silent",6,"The Hunt","CARD.THE_HUNT",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Poisoned Stab","CARD.POISONED_STAB",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Hand Trick","CARD.HAND_TRICK",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Footwork","CARD.FOOTWORK",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Clash","CARD.CLASH",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Accelerant","CARD.ACCELERANT",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Burst","CARD.BURST",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Master Planner","CARD.MASTER_PLANNER",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Escape Plan","CARD.ESCAPE_PLAN",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Dagger Throw","CARD.DAGGER_THROW",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Backstab","CARD.BACKSTAB",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Bubble Bubble","CARD.BUBBLE_BUBBLE",1525.6,1525.6,1,1,0,100.0
"Silent",6,"Reflex","CARD.REFLEX",1525.6,1525.6,1,1,0,100.0
"Defect",5,"Charge Battery","CARD.CHARGE_BATTERY",1525.2,1525.2,6,4,2,66.7
"Defect",5,"Gang Up","CARD.GANG_UP",1525.2,1525.2,1,1,0,100.0
