"relic","pickedCount","winRateWithRelic","avgFinalDeckCountWithRelic"
"Very Hot Cocoa",7,28.6,13.3
"Astrolabe",7,42.9,14.3
"Neows Talisman",7,14.3,11.9
"Precarious Shears",6,33.3,8.7
"Razor Tooth",6,33.3,12.0
"Meat On The Bone",6,0.0,11.5
"Golden Compass",6,33.3,13.8
"Rainbow Ring",6,66.7,17.2
"Fragrant Mushroom",6,83.3,17.0
"Fake Mango",6,16.7,17.3
"Molten Egg",6,16.7,10.0
"Ice Cream",6,66.7,15.7
"White Beast Statue",6,50.0,15.3
"Daughter Of The Wind",6,66.7,15.0
"Joss Paper",6,16.7,14.8
"Winged Boots",6,16.7,7.3
"Paels Wing",5,20.0,13.8
"Fake Anchor",5,40.0,16.0
"Archaic Tooth",5,0.0,12.2
"Massive Scroll",5,60.0,10.8
"Bing Bong",5,20.0,13.6
"Jeweled Mask",5,80.0,17.4
"Kunai",5,20.0,13.6
"Sturdy Clamp",5,60.0,14.6
"Captains Wheel",5,40.0,15.0
"Frozen Egg",5,20.0,14.4
"Infused Core",5,20.0,12.6
"Sand Castle",5,80.0,15.6
"Music Box",5,20.0,16.4
"Art Of War",5,100.0,18.6
"Sword Of Jade",5,80.0,17.4
"Precise Scissors",4,0.0,10.8
"Pocketwatch",4,100.0,15.5
"Mummified Hand",4,50.0,12.5
"Neows Torment",4,0.0,5.5
"Lava Rock",4,25.0,11.3
"Orrery",4,100.0,19.5
"Tri Boomerang",4,75.0,16.3
"Royal Stamp",4,0.0,16.0
"Pandoras Box",4,50.0,15.8
"Tungsten Rod",4,100.0,17.3
"Paels Horn",4,25.0,14.8
"Signet Ring",4,50.0,19.3
"Crossbow",4,75.0,15.3
"Punch Dagger",4,50.0,16.0
"Prayer Wheel",4,75.0,16.8
"Dream Catcher",4,75.0,15.0
"Fur Coat",4,75.0,18.5
"Choices Paradox",4,100.0,17.3
"Electric Shrymp",4,50.0,15.0
"Mr Struggles",4,50.0,15.8
"Miniature Tent",4,50.0,12.0
"Snecko Skull",4,100.0,17.8
"Stone Humidifier",4,50.0,14.0
"Whispering Earring",3,100.0,15.7
"Paels Flesh",3,33.3,12.0
"Byrdpip",3,0.0,8.3
"Claws",3,100.0,16.0
"History Course",3,100.0,19.3
"Nutritious Oyster",3,33.3,17.3
"Small Capsule",3,33.3,8.3
"Shovel",3,33.3,13.3
"Mystic Lighter",3,66.7,19.3
"Twisted Funnel",3,66.7,15.7
"Black Star",3,33.3,16.3
"Darkstone Periapt",3,0.0,7.3
"Pumpkin Candle",3,0.0,10.0
"Symbiotic Virus",3,33.3,10.7
"Toolbox",3,66.7,12.0
"White Star",3,66.7,17.0
"Membership Card",3,66.7,19.3
"Phylactery Unbound",3,0.0,14.3
"Lees Waffle",3,0.0,10.3
"Sai",3,33.3,16.3
"Old Coin",3,33.3,10.0
"Glitter",3,66.7,17.3
"Gold Plated Cables",3,66.7,15.3
"Runic Capacitor",3,66.7,16.7
"Bread",3,33.3,10.0
"Toasty Mittens",3,66.7,17.0
"Big Mushroom",3,33.3,15.7
"Paels Tears",2,0.0,7.0
"The Courier",2,0.0,10.5
"Meat Cleaver",2,50.0,17.0
"Book Repair Knife",2,0.0,14.5
"Bone Tea",2,0.0,14.0
"Storybook",2,0.0,9.0
"Paper Phrog",2,0.0,14.0
"Tea Of Discourtesy",2,50.0,19.0
"Jewelry Box",2,100.0,16.5
"Dollys Mirror",2,50.0,15.0
"Nutritious Soup",2,50.0,14.0
"Ember Tea",2,100.0,19.0
"Tough Bandages",2,0.0,12.5
"Ringing Triangle",2,0.0,12.0
"Runic Pyramid",2,0.0,9.5
"Tingsha",2,50.0,13.5
"Gnarled Hammer",2,50.0,17.0
"Metronome",2,0.0,11.5
"Emotion Chip",2,50.0,15.5
"Paels Growth",2,100.0,19.5
"Wongos Mystery Ticket",2,100.0,20.5
"Distinguished Cape",2,50.0,16.5
"Dusty Tome",2,50.0,16.5
"Wing Charm",2,0.0,19.5
"Dragon Fruit",2,0.0,9.5
"Delicate Frond",2,100.0,20.0
"Fake Lees Waffle",2,100.0,21.0
"Iron Club",2,50.0,18.5
"Beautiful Bracelet",2,100.0,14.0
"Driftwood",2,0.0,10.5
"Phial Holster",2,0.0,7.5
"Hefty Tablet",2,50.0,18.5
"Looming Fruit",2,50.0,18.0
"Sling Of Courage",2,50.0,15.0
"Spiked Gauntlets",1,100.0,13.0
"Black Blood",1,100.0,15.0
"Red Skull",1,0.0,10.0
"Toy Box",1,0.0,13.0
"Paper Krane",1,100.0,17.0
"Tanxs Whistle",1,100.0,15.0
"Blessed Antler",1,100.0,17.0
"Ghost Seed",1,0.0,6.0
"Ring Of The Drake",1,100.0,19.0
"Sere Talon",1,100.0,22.0
"Preserved Fog",1,100.0,17.0
"Funerary Mask",1,0.0,17.0
"Lords Parasol",1,0.0,19.0
"Calling Bell",1,0.0,12.0
"Maw Bank",1,0.0,11.0
"Empty Cage",1,0.0,8.0
"Royal Poison",1,100.0,20.0
"Power Cell",1,0.0,15.0
"Sea Glass",1,0.0,6.0
"Paels Blood",1,100.0,14.0
"Throwing Axe",1,0.0,15.0
"Lost Wisp",1,100.0,16.0
"Hand Drill",1,100.0,20.0
"Brilliant Scarf",1,100.0,17.0
"Radiant Pearl",1,100.0,19.0
"War Hammer",1,100.0,19.0
"Big Hat",1,100.0,22.0
"Burning Sticks",1,100.0,22.0
"Bone Flute",1,0.0,8.0
"Glass Eye",1,100.0,13.0
"The Abacus",1,100.0,20.0
"Regalite",1,100.0,20.0
